,Steming,Label
0,anggar rp triliun nikuba karya anak bangsa insyaa allah laquwwata illa billah,positif
1,tolong perintah perhatianya nikubakayanya bp aryanto mizel serius,positif
2,nikubadi pakai indonesia bisnis bbm indonesia,negatif
3,nikubadi pakai indonesia bisnis bbm indonesia,negatif
4,alat nikuba kembang pertamina omset anjlok,netral
5,coba mobil putih muat toa milik kadrun ganti nikuba teriak bbm,positif
6,nikuba ditelity hoaxyg percaya hoax silah,positif
7,nikuba gantiin bensin media kocak ginian angkat polemik masyarakat gmpang percaya bodoh,positif
8,temu nikuba koar medsos alangkah baik paten pack jual dah koar medsos,positif
9,ko bajing brin cuek sm temu nikuba ngapain ikut itali curiga sepakat nikuba jk kerjasama mk simpul kegoblogan brin,negatif
10,nikubasingkatan niku bactomongmya doang gede mediapadahal kenyataanya sesuai faktakatanya itali tawar piha ferrariducati cs nyapadahal fakta aryanto italali hadir kopdar klub otomotifjd ferrari yabnyak media online abal judul beritaisinya bodoh semuaterutama tribun tuhcuma nyari viewer ketimbang efek berita timbul,netral
11,rakyat nkri bangga hasil viral pikir ilmiah kesana benerin nikuba rumania,positif
12,rancang mobil hydrogen korea pakai alat hydrogensaya baca koran otomotiftapi berhasilini hasil duluan nikubatinggal tahap tahap sempurna,netral
13,nikuba tolol,negatif
14,komennya sdm rendah minim literasi minim ilmu moga cerah nikuba hebat klaim media bombastis anak sains tertawa,positif
15,temu nikuba ketua brin riset hasil ketua brin kpd ketua partai hasil,positif
16,nikuba direspon mafia minyak tidur kolong jembatan,positif
17,kodam siliwangi erti kodam siliwangi erti nikuba,netral
18,rakyat indonesia tolak nikuba bbm nikuba pamer jalan jalan bbm rakyat indonesia percaya,negatif
19,paham fisika percaya klaim nikuba,positif
20,temu bpk aryanto dunia,netral
21,jelasin sederhana bego nikuba,negatif
22,sayang karya anak bangsa harga negeri lembaga remeh,negatif
23,sains kembang masuk akal tolak mentah cibir ilmu nyampe orang pintar buka inovasi terpa rumus enstein hawking orangorang pintar lampau,positif
24,media bodoh fakta aryanto italy bawa nikuba nikuba uji coba buat rumania aryanto dapat transaksi harga dapet aku italy,negatif
25,negeri banyak koruptur modalin nikuba mending duit makan,netral
26,mantap habibi mati karya alas penting nikuba gilir ambil orang kalang kabut ajimumpung cari nama bilang masuk akal bilang masuk akal sain masuk akal contoh lampu bisa ko manusia kasih lebih akal,positif
27,nikuba bukti efisien,netral
28,nikuba massall celaah untung akn kecill sdikit celah korups jamaah bibit anak bangsa cerdas anggap rugi sampe kiamat sluruh jabat jajah mu turun turun,positif
29,perintah goblok pilih rakyat presiden dukung rakyat putra nkri creator nikuba,netral
30,bohong banget metro harga ambil alih bayar hak cipta sang cipta nikuba barang efisien negara maju alat massal,positif
31,berita nikuba lirik mulu untung lirik,netral
32,negeri sulit harga hasil karya anak bangsa nikuba anyar stadium jis milik cacad hasil karya rezim konco konco cacad kurang disanjungsanjung sedih,negatif
33,drama wakanda nikubanikubanyu nikubacotbuktikan cepat produksi jalan sepeda tangki lt kmsemangat,netral
34,beda nasib nikuba vs esemka,netral
35,percaya nikuba bual misel fisika bulshit turut liter air km tetes km come on baraya pintar ko analis iniini ud bual media memamfaatkan emosi nitizen berita bombastisayolah be smart main media,negatif
36,korban bodoh media tvdi yt bahas gagal nikuba,negatif
37,berita mbok proporsional tenaga ahli cek asli ferrari beneran tarik nikuba cek berita asli portal resmi ferari seolaholah heboh inovasi layak judul salah gugat tanda,positif
38,misel libat brin kembang nikuba misel paten hak cipta campur tangan perintah perintah jegal klaim temu otomatis misel kompensasi hak cipta,positif
39,awalawal temu temu nikuba tanggap positif pihakpihak kait negeri brin kemendikbudristek dll undang temu nikuba presentasi kembang dukung riset sempurna temu nikuba teliti latar akademisi teliti sesuai sop teliti kampus brn kampus sudut sop teliti akademis temu dunia background kampus temu hasil trial and error kali ratus ribu cobacoba hasil temu rasa sinergi temu nikuba brin bagus temu nikuba teliti brin lurus prosedeur riset apa anak bangsa kait inovasi harga penting orang langsung cibir caci kritisi habis,positif
40,nikuba joko energi temu nikuba,positif
41,nikuba bangga bangsa mati temu dari anak bangsa lari negeri harga bangsa contoh temu obat dbd dari kota pontianak mati mati juang hasil temu tolak negara riset obat dbd hasil indonesia temu anggap sepi ajamana orang teliti gelar profesor tidak malu masyarakat hasil riset,positif
42,kendara indonesia jalan teknologi nikuba mobil indo bahan bakar bensin dll usaha mobil dukung teknologi nikuba yaituuuuuu esemka esemka produksi pas musim pilih produksi tugas partai omong planga plongo,positif
43,brin disalahin negara duit hasil jenius nikuba,negatif
44,gimanagimana terang gw sanksi nikuba elektrolisis efesien kasar buang energi elektrolisis air energi langsung pakai gerak motor lepas efesien desain teknis elektrolisis skala paten desain beliau khawatir karya contek orang,positif
45,negri tolak nikuba nikuba akuii pertamina laku negri indonesia,negatif
46,arogansi brin lembaga pakarahli temuaninovasi kalang nonakademisi angkuh dunia akademik experiment nikuba nyata nyata bukti manfaat pakar brin katak tempurungsiapa jago ngecap tidak bermanfaatwuih uang negara habis enak masturbasi,positif
47,bumn dah bangkrut nikuba massal jabat bumn pertaminaini nikuba sulit tembus,negatif
48,takut bangkrut klw pakai nikuba,negatif
49,nikuba bantai stadion jis,netral
50,emang barat tarik produk nikuba teknologi mumpuni pakai minyak ketawa takut hujat,positif
51,nikuba lakuyg mafia bbm ketar tir hilang cuan bayangin liter bensin rubah jarak km,negatif
52,moga nikuba terima ferarikita amat sampek jadi jaman sby,positif
53,jual uni eropa paklebih aju perintah kembang produksi mesin nikuba bahan bakar air,positif
54,takut bangkrut nikuba muncul,negatif
55,mohon cermat lihat pengakuakuan beliau baru italia tarik beli proyek nikuba suruh presentasi ilmu ambil bayar peser netizen koar bangga salah pemerintahemang butuh teliti ilmiah,negatif
56,temu nikuba tamat sekolah tara sma tolak,negatif
57,pertamina takut nikuba produksi,netral
58,asli mentah hati temu nikuba presenter harap perintah brin tingkat nikuba inipak misel lantang tidak butuh nantai habis lugas pobroknya rezim gedung dpr telusur google kandang tikus jabat banyak tugas partai tugas rakyat,positif
59,kubu percaya nikuba tuju silah hujat,negatif
60,dapat jabat negri hormat mengakuimenghargai temu hebat,positif
61,muncul sedang bae nikuba hahaha,netral
62,tau ku nikuba,netral
63,brin profesor aryanto lulus stm kalah gengsi pikir salah tidak harga orang profesor mental tempe tidak legowo lanjut aryanto tunjuk temu manfaat orang tidak harga negeri regulasi gpp booming dunia teknologi nikuba nyesel,negatif
64,leginitas negri merdeka sepenuh munkinkarena kerjasama ikat itujika indonesia kembang nikuba perintah,negatif
65,bela perintah bela temu nikuba hina leceh temu tetep hormat usaha semangat aryanto misel usaha bahan bakar air kemarin orang temu kali teknologi bicara fisika ilmiah nukuba bahan bakar air sesimple nikuba bahan bakar air negara maju terap produksi masal mobil produksinyatapi fakta mobil teknologi bahan bakar air bahan bakar air terap mobil motor produksi masal jawab air energi butuh proses elektrolisis air kandung molekul hidrogen proses elektrolisis proses hidrogen bahan bakar fungsi aki proses elektrolisis pisah hidrogen air bakar butuh listrik lumayan listrik mesin kendara inti pakai bahan bakar air isi aki alat tambah tank bensin makan nikuba tenaga mesin gerak aki bensin nikuba ubah air energi tenaga mesin butuh aki jalan simpul mengunakan bensin tenaga aki resiko aki tekor soak rusak fakta sulit isi aki ngisi bensin harga cair aki awat aki simplekarena sampe teknologi bahan bakar air sulit kembang telur ayam muter nikuba sebenrnya ganti bahan bakar bensin rubah aki rumus fisika energi cipta energi kecuali mukzizat tuhan,negatif
66,lempar rpm komisi unit produksi buka gampang muter hoax alas rpm penemuany berita bohong dunia it berita nikuba,negatif
67,mes neh bahas mes nikuba orng jngn gaduh akan ne tolak negeri coba lihat minusny kelebihanya kendara motor mobil indonesia tu aman kah,positif
68,nikuba terap indonesia mafia bbm engga tuju,netral
69,hho generator bilang ganti bbm sains mesin gerak hidrogen nikuba hasil hidrogen kendara bbm gin misel niru produk orang yo bacot dah mesin nikuba cipta bikin joko energy cipta,positif
70,takut disaingin produk perintah nikuba takut rugi lanjut cita nikuba indonesia aku negara aku ahli semangat nikuba bantai habis brin wajar jual negeriwkwkwk,positif
71,berita terkinipembuat nikuba sesal jalan italia jelas nikuba media indonesia berita lengkap mis informasi masyarakat ujung ujung masyarakat percaya perintah indonesia,negatif
