,Text,Label,CaseFolding,TextClean,tokens,normalisasi,stopword
0,SAYA SIAP ANGGARKAN RP 40.000 TRILIUN UNTUK NIKUBA KARYA ANAK BANGSA. INSYAA ALLAH LAQUWWATA ILLA BILLAH,positif,saya siap anggarkan rp 40.000 triliun untuk nikuba karya anak bangsa. insyaa allah laquwwata illa billah,saya siap anggarkan rp triliun untuk nikuba karya anak bangsa insyaa allah laquwwata illa billah,"['saya', 'siap', 'anggarkan', 'rp', 'triliun', 'untuk', 'nikuba', 'karya', 'anak', 'bangsa', 'insyaa', 'allah', 'laquwwata', 'illa', 'billah']","['saya', 'siap', 'anggarkan', 'rp', 'triliun', 'untuk', 'nikuba', 'karya', 'anak', 'bangsa', 'insyaa', 'allah', 'laquwwata', 'illa', 'billah']","['anggarkan', 'rp', 'triliun', 'nikuba', 'karya', 'anak', 'bangsa', 'insyaa', 'allah', 'laquwwata', 'illa', 'billah']"
1,"tolong pemerintah perhatianya ke nikuba,kayanya bp aryanto mizel benar"" serius",positif,"tolong pemerintah perhatianya ke nikuba,kayanya bp aryanto mizel benar"" serius",tolong pemerintah perhatianya ke nikubakayanya bp aryanto mizel benar serius,"['tolong', 'pemerintah', 'perhatianya', 'ke', 'nikubakayanya', 'bp', 'aryanto', 'mizel', 'benar', 'serius']","['tolong', 'pemerintah', 'perhatianya', 'ke', 'nikubakayanya', 'bp', 'aryanto', 'mizel', 'benar', 'serius']","['tolong', 'pemerintah', 'perhatianya', 'nikubakayanya', 'bp', 'aryanto', 'mizel', 'serius']"
2,"Kalau nikuba,di pakai di Indonesia, tidak ada lagi bisnis bbm di Indonesia 😅😅😅",negatif,"kalau nikuba,di pakai di indonesia, tidak ada lagi bisnis bbm di indonesia 😅😅😅",kalau nikubadi pakai di indonesia tidak ada lagi bisnis bbm di indonesia,"['kalau', 'nikubadi', 'pakai', 'di', 'indonesia', 'tidak', 'ada', 'lagi', 'bisnis', 'bbm', 'di', 'indonesia']","['kalau', 'nikubadi', 'pakai', 'di', 'indonesia', 'tidak', 'ada', 'lagi', 'bisnis', 'bbm', 'di', 'indonesia']","['nikubadi', 'pakai', 'indonesia', 'bisnis', 'bbm', 'indonesia']"
3,"Kalau nikuba,di pakai di Indonesia, tidak ada lagi bisnis bbm di Indonesia 😅😅😅",negatif,"kalau nikuba,di pakai di indonesia, tidak ada lagi bisnis bbm di indonesia 😅😅😅",kalau nikubadi pakai di indonesia tidak ada lagi bisnis bbm di indonesia,"['kalau', 'nikubadi', 'pakai', 'di', 'indonesia', 'tidak', 'ada', 'lagi', 'bisnis', 'bbm', 'di', 'indonesia']","['kalau', 'nikubadi', 'pakai', 'di', 'indonesia', 'tidak', 'ada', 'lagi', 'bisnis', 'bbm', 'di', 'indonesia']","['nikubadi', 'pakai', 'indonesia', 'bisnis', 'bbm', 'indonesia']"
4,"Kalau alat nikuba ini di kembangkan, Pertamina omsetnya bisa anjlok😂",netral,"kalau alat nikuba ini di kembangkan, pertamina omsetnya bisa anjlok😂",kalau alat nikuba ini di kembangkan pertamina omsetnya bisa anjlok,"['kalau', 'alat', 'nikuba', 'ini', 'di', 'kembangkan', 'pertamina', 'omsetnya', 'bisa', 'anjlok']","['kalau', 'alat', 'nikuba', 'ini', 'di', 'kembangkan', 'pertamina', 'omsetnya', 'bisa', 'anjlok']","['alat', 'nikuba', 'kembangkan', 'pertamina', 'omsetnya', 'anjlok']"
5,Coba mobil putih muatan toa milik kadrun diganti nikuba biar gak teriak3 bbm naik 😀😀,positif,coba mobil putih muatan toa milik kadrun diganti nikuba biar gak teriak3 bbm naik 😀😀,coba mobil putih muatan toa milik kadrun diganti nikuba biar gak teriak bbm naik,"['coba', 'mobil', 'putih', 'muatan', 'toa', 'milik', 'kadrun', 'diganti', 'nikuba', 'biar', 'gak', 'teriak', 'bbm', 'naik']","['coba', 'mobil', 'putih', 'muatan', 'toa', 'milik', 'kadrun', 'diganti', 'nikuba', 'biar', 'tidak', 'teriak', 'bbm', 'naik']","['coba', 'mobil', 'putih', 'muatan', 'toa', 'milik', 'kadrun', 'diganti', 'nikuba', 'teriak', 'bbm']"
6,NIKUBA SDH DITELITY DAN HOAX....YG PERCAYA HOAX SILAHKAN SAJA....,positif,nikuba sdh ditelity dan hoax....yg percaya hoax silahkan saja....,nikuba sdh ditelity dan hoaxyg percaya hoax silahkan saja,"['nikuba', 'sdh', 'ditelity', 'dan', 'hoaxyg', 'percaya', 'hoax', 'silahkan', 'saja']","['nikuba', 'sudah', 'ditelity', 'dan', 'hoaxyg', 'percaya', 'hoax', 'silahkan', 'saja']","['nikuba', 'ditelity', 'hoaxyg', 'percaya', 'hoax', 'silahkan']"
7,Masih yakin dengan nikuba bisa gantiin bensin? 😂😂.. media nya juga kocak hal ginian di angkat. Biar bisa jadi polemik di masyarakat yg gmpang percaya dan di bodohi  👏👏,positif,masih yakin dengan nikuba bisa gantiin bensin? 😂😂.. media nya juga kocak hal ginian di angkat. biar bisa jadi polemik di masyarakat yg gmpang percaya dan di bodohi  👏👏,masih yakin dengan nikuba bisa gantiin bensin media nya juga kocak hal ginian di angkat biar bisa jadi polemik di masyarakat yg gmpang percaya dan di bodohi,"['masih', 'yakin', 'dengan', 'nikuba', 'bisa', 'gantiin', 'bensin', 'media', 'nya', 'juga', 'kocak', 'hal', 'ginian', 'di', 'angkat', 'biar', 'bisa', 'jadi', 'polemik', 'di', 'masyarakat', 'yg', 'gmpang', 'percaya', 'dan', 'di', 'bodohi']","['masih', 'yakin', 'dengan', 'nikuba', 'bisa', 'gantiin', 'bensin', 'media', 'nya', 'juga', 'kocak', 'hal', 'ginian', 'di', 'angkat', 'biar', 'bisa', 'jadi', 'polemik', 'di', 'masyarakat', 'yang', 'gmpang', 'percaya', 'dan', 'di', 'bodohi']","['nikuba', 'gantiin', 'bensin', 'media', 'kocak', 'ginian', 'angkat', 'polemik', 'masyarakat', 'gmpang', 'percaya', 'bodohi']"
8,"Penemu nikuba cuma berkoar2 di medsos, alangkah baiknya di patenkan dan di pack, biar bisa di jual. Kan dah lama berkoar2 di medsos",positif,"penemu nikuba cuma berkoar2 di medsos, alangkah baiknya di patenkan dan di pack, biar bisa di jual. kan dah lama berkoar2 di medsos",penemu nikuba cuma berkoar di medsos alangkah baiknya di patenkan dan di pack biar bisa di jual kan dah lama berkoar di medsos,"['penemu', 'nikuba', 'cuma', 'berkoar', 'di', 'medsos', 'alangkah', 'baiknya', 'di', 'patenkan', 'dan', 'di', 'pack', 'biar', 'bisa', 'di', 'jual', 'kan', 'dah', 'lama', 'berkoar', 'di', 'medsos']","['penemu', 'nikuba', 'cuma', 'berkoar', 'di', 'medsos', 'alangkah', 'baiknya', 'di', 'patenkan', 'dan', 'di', 'pack', 'biar', 'bisa', 'di', 'jual', 'kan', 'dah', 'lama', 'berkoar', 'di', 'medsos']","['penemu', 'nikuba', 'berkoar', 'medsos', 'alangkah', 'baiknya', 'patenkan', 'pack', 'jual', 'dah', 'berkoar', 'medsos']"
9,"Ko bajingan ya brin. Kalau sdh cuek sm penemuan nikuba, ngapain ikutan ke itali. Sy curiga biar tdk ada kesepakatan atas nikuba, krn jk terjadi kerjasama, mk dpt disimpulkan kegoblogan ada di pihak brin",negatif,"ko bajingan ya brin. kalau sdh cuek sm penemuan nikuba, ngapain ikutan ke itali. sy curiga biar tdk ada kesepakatan atas nikuba, krn jk terjadi kerjasama, mk dpt disimpulkan kegoblogan ada di pihak brin",ko bajingan ya brin kalau sdh cuek sm penemuan nikuba ngapain ikutan ke itali sy curiga biar tdk ada kesepakatan atas nikuba krn jk terjadi kerjasama mk dpt disimpulkan kegoblogan ada di pihak brin,"['ko', 'bajingan', 'ya', 'brin', 'kalau', 'sdh', 'cuek', 'sm', 'penemuan', 'nikuba', 'ngapain', 'ikutan', 'ke', 'itali', 'sy', 'curiga', 'biar', 'tdk', 'ada', 'kesepakatan', 'atas', 'nikuba', 'krn', 'jk', 'terjadi', 'kerjasama', 'mk', 'dpt', 'disimpulkan', 'kegoblogan', 'ada', 'di', 'pihak', 'brin']","['ko', 'bajingan', 'ya', 'brin', 'kalau', 'sudah', 'cuek', 'sm', 'penemuan', 'nikuba', 'ngapain', 'ikutan', 'ke', 'itali', 'saya', 'curiga', 'biar', 'tidak', 'ada', 'kesepakatan', 'atas', 'nikuba', 'karena', 'jk', 'terjadi', 'kerjasama', 'mk', 'dapat', 'disimpulkan', 'kegoblogan', 'ada', 'di', 'pihak', 'brin']","['ko', 'bajingan', 'brin', 'cuek', 'sm', 'penemuan', 'nikuba', 'ngapain', 'ikutan', 'itali', 'curiga', 'kesepakatan', 'nikuba', 'jk', 'kerjasama', 'mk', 'disimpulkan', 'kegoblogan', 'brin']"
