Text,Label
SAYA SIAP ANGGARKAN RP 40.000 TRILIUN UNTUK NIKUBA KARYA ANAK BANGSA. INSYAA ALLAH LAQUWWATA ILLA BILLAH,positif
"tolong pemerintah perhatianya ke nikuba,kayanya bp aryanto mizel benar"" serius",positif
"Kalau nikuba,di pakai di Indonesia, tidak ada lagi bisnis bbm di Indonesia 😅😅😅",negatif
"Kalau nikuba,di pakai di Indonesia, tidak ada lagi bisnis bbm di Indonesia 😅😅😅",negatif
"Kalau alat nikuba ini di kembangkan, Pertamina omsetnya bisa anjlok😂",netral
Coba mobil putih muatan toa milik kadrun diganti nikuba biar gak teriak3 bbm naik 😀😀,positif
NIKUBA SDH DITELITY DAN HOAX....YG PERCAYA HOAX SILAHKAN SAJA....,positif
Masih yakin dengan nikuba bisa gantiin bensin? 😂😂.. media nya juga kocak hal ginian di angkat. Biar bisa jadi polemik di masyarakat yg gmpang percaya dan di bodohi  👏👏,positif
"Penemu nikuba cuma berkoar2 di medsos, alangkah baiknya di patenkan dan di pack, biar bisa di jual. Kan dah lama berkoar2 di medsos",positif
"Ko bajingan ya brin. Kalau sdh cuek sm penemuan nikuba, ngapain ikutan ke itali. Sy curiga biar tdk ada kesepakatan atas nikuba, krn jk terjadi kerjasama, mk dpt disimpulkan kegoblogan ada di pihak brin",negatif
"NIKUBA,,,,singkatan dari NiKU BAc*T,,omongmya doang yg gede ke media,,,padahal dalam kenyataanya tdk sesuai fakta,,,katanya ke itali ada tawaran dari piha ferrari,ducati dan cs nya,,,padahal dalam faktanya aryanto ke italali hanya dalam menghadiri kopdar klub otomotif,,jd itu bukan dari pihak ferrari ya,,,,bnyak media online abal2 yg asal bikin judul berita,isinya pembodohan semua,,,,terutama tribun tuh,,cuma nyari viewer ketimbang efek dari berita yg di timbulkan،،,,",netral
Rakyat NKRI lebih bangga dg hasil viral daripada berfikir ilmiah.... dia kesana untuk d minta benerin nikuba dari rumania.,positif
Rancangan mobil hydrogen Korea pake alat hydrogen.saya baca di koran otomotif..tapi belum berhasil..ini sudah berhasil duluan nikuba..tinggal tahap tahap penyempurnaan.,netral
Nikuba tolol,negatif
"Dari komen""nya terlihat, memang SDM kita masih rendah
minim literasi, minim ilmu

Semoga banyak yang tercerahkan kalau nikuba ini tidak sehebat yang diklaim saat ini

Media juga terlalu bombastis
Anak"" sains tertawa melihat ini",positif
Seharusnya penemu nikuba ini jd ketua BRIN soalnya risetnya menghasilkan sesuatu ini malah ketua BRIN diberikan kpd ketua umum partai apa yg mau dihasilkan,positif
Yang jelas kalau nikuba direspon maka mafia minyak akan tidur di kolong jembatan,positif
"Hanya kodam siliwangi yang mengerti, ingat KODAM SILIWANGI  YANG MENGERTI NIKUBA !!!!!!👍👍👍🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨",netral
Bukan rakyat Indonesia menolak nikuba seharusnya dengan BBM naik nikuba harus di pamerkan dengan jalan jalan tanpa BBM supaya rakyat Indonesia percaya,negatif
yang paham fisika pasti gak bakal percaya dg klaim2 nikuba,positif
Suatu saat penemuan Bpk Aryanto akan mendunia....,netral
"Udah di jelasin sederhana tp masih bego
Si paling nikuba😅😅😅",negatif
Sayang sekali karya anak bangsa byk yg tdk dihargai dinegeri sendiri karena lembaga² yg meremehkan,negatif
"Sains itu selalu berkembang, meski gak masuk akal janganlah menolak mentah2 apalagi mencibir. Mungkin ilmu anda belum nyampe. Gitu aja. 
Jika orang pintar Harusnya lebih terbuka dgn  inovasi baru, jangan hanya terpaku pada rumus enstein atau hawking yang ada di masa lalu, apakah orang-orang pintar hanya ada pada masa lampau????",positif
"Media bodoh, padahal faktanya aryanto datang ke italy tidak membawa nikuba, nikuba yang di uji coba itu buatan rumania, aryanto hanya dimintai pendapat. Gak ada itu transaksi harga atau dapet pengakuan dari italy.",negatif
"Dalam negeri itu kebanyakan koruptur.. 
Percuma buat modalin NIKUBA, Mending Duitnya dimakan sendiri.. 😂😂😂",netral
"mantap pak tegas,… dulu pak habibi dimatikan karyanya dgn berbagai alasan dan kepentingan..
Sekarang nikuba giliran mau diambil orang kalang kabut ajimumpung cari nama, dulu dibilang gak masuk akal..
 Kalo dibilang gak masuk akal semua sain gak masuk akal contoh lampu bisanya ko bisa. Cuma itulah manusia dikasih kelebihan yaitu akal",positif
"Nikuba ini sudah ada 2010, dan sudah terbukti tidak efisien",netral
"jika nikuba di buat massall
maka celaah keuntungan akn kecill sdikit celah di buat korups untuk berjamaah

itulah knp bibit anak bangsa yg cerdas2 di anggap merugikan

dn sampe kiamat pun sluruh pejabatmu akan menjajah mu turun temurun",positif
"PEMERINTAH ITU GOBLOK SEKALI SUDAH DI PILIH RAKYAT JADI PRESIDEN, TIDAK MAU DUKUNG RAKYAT, PUTRA NKRI LAGI YANG CREATOR NIKUBA",netral
"Bohong banget metro ini, bukan dihargai, tapi mau diambil alih tanpa ada pembayaran hak cipta, itu yg bilang sang penciptanya sendiri!
NIKUBA ini bukan barang baru, kalau efisien, pasti negara maju sdh membuat alat ini dengan massal!",positif
"Dari bulan lalu, beritanya tentang Nikuba dilirik mulu.
Apa untungnya kalo cuma DILIRIK ???",netral
"Negeri ini sulit sekali menghargai hasil karya anak bangsa sendiri. Ada nikuba, dan yang teranyar adalah stadium JIS. Semuanya dikatakan memiliki banyak cacad. Tetapi kalau hasil karya rezim dan konco konco nya walaupun banyak cacad dan kekurangan tetap disanjung-sanjung. Memang MENYEDIHKAN.",negatif
"lama lama drama wakanda ini nikuba.....nikubanyu jangan sampai jadi nikubacot......buktikan secepatnya....1 produksi untuk jalankan sepeda tanpa tangki, 1 lt bisa 500 km...........semangat",netral
Beda nasib NIKUBA vs ESEMKA🙄,netral
"Apa cuma ak yg percaya kalo Nikuba ini cuma pembualan bapak misel saja ya...😂
Secara fisika itu bulshit menurutku..
1liter air bisa 200km 
1tetes bisa 45km 
Come on baraya ga perlu pintar ko menganalisis ini..ini ud pasti pembualan, dan media memamfaatkan emosi nitizen membuat berita bombastis..ayolah be smart jangan mau di permainkan media.",negatif
"Korban pembodohan media tv,di yt sudah lama dibahas kegagalan nikuba",negatif
Bikin berita mbok yang proporsional. Mendatangkan tenaga ahli juga. Perlu di cek aslinya apakah Ferrari beneran tertarik nikuba. Bisa cek berita aslinya dari portalnya resmi ferari. Jangan seolah-olah membuat heboh terhadap inovasi yg sebenarnya sdh lama dan tdk layak. Tapi judulnya tidak salah dan tidak bisa digugat karena menggunakan tanda ?,positif
"Menurut saya pak misel gak usah melibatkan BRIN untuk mengembangkan nikuba,, lebih baik jika pak misel mematenkan hak cipta sendiri.. Tanpa campur tangan pemerintah... Karena pemerintah bakal menjegal dan mengeklaim penemuan tersebut.. Otomatis pak misel gak bakal dpt kompensasi atas hak ciptanya",positif
"1. Harusnya pada awal-awal penemuan dulu akan lebih baik jika penemuan NIKUBA ditanggapi secara positif terlebih dahulu oleh pihak-pihak terkait di negeri ini (BRIN, Kemendikbudristek, dll)
2. Undang penemu NIKUBA untuk mempresentasikan;
3. Jika memungkinkan dikembangkan ya didukung untuk riset lebih lanjut untuk disempurnakan, apalagi penemu NIKUBA bukanlah seorang peneliti yang berlatar belakang akademisi yang mana penelitiannya mungkin tidak sesuai dengan SOP penelitian di kampus, sedangkan pihak BR!N dan kampus melihatnya dari sudut SOP penelitian akademis; Ingat bahwa banyak penemuan2 besar di dunia yang tidak ada background kampus dari penemunya, tetapi hasil dari trial and error yang berkali2 bahkan ratusan atau ribuan coba-coba dan hasil penemuannya bisa kita rasakan sama saat ini;
4. Jika ada sinergi antara penemu NIKUBA dengan pihak BRIN akan sangat bagus, penemu NIKUBA bisa terus melakukan penelitiannya, sedangkan pihak BRIN bisa meluruskan prosedeur risetnya;
5. Apapun yang dilakukan oleh anak bangsa terkait inovasi harus dihargai apalagi untuk kepentingan orang banyak. Jangan langsung dicibir, dicaci, dan dikritisi habis2an.",positif
Ingat nikuba ingat joko energi penemu nikuba 2010 lalu,positif
"Nikuba harusnya menjadi kebanggaan bangsa bukan malah dimatikan, sudah banyak penemuan dr anak bangsa yg lari ke luar negeri karena tidak dihargai bangsanya sendiri, sebagai contoh penemu obat DBD dr kota Pontianak yg sampai hari ini mati matian memperjuangkan hasil temuannya tapi selalu ditolak, padahal sampai hari ini banyak negara melakukan riset obat DBD tapi tidak berhasil sementara di Indonesia sendiri sudah ditemukan malah dianggap sepi aja,mana nih orang yg katanya peneliti yg sudah bergelar profesor ,nggak usah malu kalau ada masyarakat biasa yg  berhasil melakukan riset,",positif
"Kendaraan di Indonesia tidak sejalan dengan teknologi Nikuba, karna semua mobil di indo berbahan bakar bensin dll, sehingga hanya satu perusahaan mobil yg bisa mendukung teknologi Nikuba ini, yaituuuuuu,,,, ESEMKA, tapi Esemka hanya di produksi pas musim pemilihan, dan hanya di produksi oleh petugas partai, lewat omongan planga plongo😂😂😂😂😂",positif
Biasa lah brin gk mw disalahin negara. Atau mungkin pngen duit dari hasil kejeniusan NIKUBA,negatif
