Datetime,Username,Text
2023-07-15T05:41:07Z,Master Andi Misteri Official,SAYA SIAP ANGGARKAN RP 40.000 TRILIUN UNTUK NIKUBA KARYA ANAK BANGSA. INSYAA ALLAH LAQUWWATA ILLA BILLAH
2023-07-15T05:09:56Z,BGG channel,"tolong pemerintah perhatianya ke nikuba,kayanya bp aryanto mizel benar"" serius"
2023-07-15T02:59:02Z,Malin Kundang,"Kalau nikuba,di pakai di Indonesia, tidak ada lagi bisnis bbm di Indonesia 😅😅😅"
2023-07-15T02:58:40Z,Malin Kundang,"Kalau nikuba,di pakai di Indonesia, tidak ada lagi bisnis bbm di Indonesia 😅😅😅"
2023-07-14T16:13:47Z,animal toys,"Kalau alat nikuba ini di kembangkan, Pertamina omsetnya bisa anjlok😂"
2023-07-14T13:13:28Z,Arief Sutopo,Coba mobil putih muatan toa milik kadrun diganti nikuba biar gak teriak3 bbm naik 😀😀
2023-07-14T12:28:30Z,hadari wong,NIKUBA SDH DITELITY DAN HOAX....YG PERCAYA HOAX SILAHKAN SAJA....
2023-07-14T08:50:51Z,rizal pradana,Masih yakin dengan nikuba bisa gantiin bensin? 😂😂.. media nya juga kocak hal ginian di angkat. Biar bisa jadi polemik di masyarakat yg gmpang percaya dan di bodohi  👏👏
2023-07-14T02:50:10Z,The Lastsamurai,"Penemu nikuba cuma berkoar2 di medsos, alangkah baiknya di patenkan dan di pack, biar bisa di jual. Kan dah lama berkoar2 di medsos"
2023-07-13T22:48:10Z,Jack Wahyudin,"Ko bajingan ya brin. Kalau sdh cuek sm penemuan nikuba, ngapain ikutan ke itali. Sy curiga biar tdk ada kesepakatan atas nikuba, krn jk terjadi kerjasama, mk dpt disimpulkan kegoblogan ada di pihak brin"
2023-07-13T21:31:30Z,GUS UDIN CURUT,"NIKUBA,,,,singkatan dari NiKU BAc*T,,omongmya doang yg gede ke media,,,padahal dalam kenyataanya tdk sesuai fakta,,,katanya ke itali ada tawaran dari piha ferrari,ducati dan cs nya,,,padahal dalam faktanya aryanto ke italali hanya dalam menghadiri kopdar klub otomotif,,jd itu bukan dari pihak ferrari ya,,,,bnyak media online abal2 yg asal bikin judul berita,isinya pembodohan semua,,,,terutama tribun tuh,,cuma nyari viewer ketimbang efek dari berita yg di timbulkan،،,,"
2023-07-13T19:26:18Z,Flash fotostudio Flash,Rakyat NKRI lebih bangga dg hasil viral daripada berfikir ilmiah.... dia kesana untuk d minta benerin nikuba dari rumania.
2023-07-13T17:05:45Z,News update,Rancangan mobil hydrogen Korea pake alat hydrogen.saya baca di koran otomotif..tapi belum berhasil..ini sudah berhasil duluan nikuba..tinggal tahap tahap penyempurnaan.
2023-07-13T14:50:44Z,Wong Semut,Nikuba tolol
2023-07-13T14:37:15Z,Tutup Merah,"Dari komen""nya terlihat, memang SDM kita masih rendah
minim literasi, minim ilmu

Semoga banyak yang tercerahkan kalau nikuba ini tidak sehebat yang diklaim saat ini

Media juga terlalu bombastis
Anak"" sains tertawa melihat ini"
2023-07-13T14:15:49Z,Miki Suhendri,Seharusnya penemu nikuba ini jd ketua BRIN soalnya risetnya menghasilkan sesuatu ini malah ketua BRIN diberikan kpd ketua umum partai apa yg mau dihasilkan
2023-07-13T14:12:35Z,Mundi Yono,Yang jelas kalau nikuba direspon maka mafia minyak akan tidur di kolong jembatan
2023-07-13T13:13:24Z,AstonMafia#28,"Hanya kodam siliwangi yang mengerti, ingat KODAM SILIWANGI  YANG MENGERTI NIKUBA !!!!!!👍👍👍🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨"
2023-07-13T12:36:27Z,Hasan Transistor,Bukan rakyat Indonesia menolak nikuba seharusnya dengan BBM naik nikuba harus di pamerkan dengan jalan jalan tanpa BBM supaya rakyat Indonesia percaya
2023-07-13T11:22:11Z,Agung Wd,yang paham fisika pasti gak bakal percaya dg klaim2 nikuba
2023-07-13T11:07:08Z,Yadi Theaa,Suatu saat penemuan Bpk Aryanto akan mendunia....
