,Text,TextEng
0,"Metro kok ngak selektif milih berita, dongeng hoax gini bisa diangkat","How come Metro isn't selective in choosing news, hoax tales like this can be picked up"
1,Rakyat NKRI lebih bangga dg hasil viral daripada berfikir ilmiah.... dia kesana untuk d minta benerin nikuba dari rumania.,The people of the Unitary State of the Republic of Indonesia are more proud of the viral results than thinking scientifically.... He went there to ask to fix Nikuba from Romania.
2,"Rakyat zibawe kecewa ternyata cuman di lirik doang, buka d ajak kerjasama, klw dah kerjasama baru bangga dan buktika surat kerjasamnya klw emang dia ilmuwan zimbawe yg paling keren di banding BRIN","The people of Zibawe are disappointed, it turns out that it's only in the lyrics, they're open to collaboration, if they've collaborated, they'll be proud and prove the certificate of cooperation that he's the coolest Zimbabwean scientist compared to BRIN"
3,"Gorengan gosong m, ini sejak dulu di goreng, tak ada cerita air bisa jadi ganti bbm kecuali di konversi nah biaya konversi nya lebih besar dan tak efisien","The fried food is burnt m, this has been fried since the first time, there is no story that water can be changed to fuel unless it is converted, the conversion costs are higher and it is not efficient"
4,😅😅😅 tipu muslihat si misel,😅😅😅 Micelle's ruse
5,Inilah lucunya di sini,Here's the punchline here
6,"Disini karya anak bamgsa hanya dibenturkan dng aturan2x perijinan yg konyol, bukan malah suport","Here, the works of nationals only collide with ridiculous licensing regulations, not even support"
7,Rancangan mobil hydrogen Korea pake alat hydrogen.saya baca di koran otomotif..tapi belum berhasil..ini sudah berhasil duluan nikuba..tinggal tahap tahap penyempurnaan.,The design of a Korean hydrogen car uses a hydrogen device. I read it in an automotive newspaper..but it hasn't worked..this has worked before nikuba..it's just a stage of refinement.
8,Jago nglawak juga ternyata ni orang,It turns out that this person is good at joking
9,"kalo cuma 15M kenapa ga dibeli aja sama pemerintah kita ya, kalo prank lagi kaya zaman SBY tinggal kandangin, daripada duitnya dgrogotin mulu sama koruptor 😂😂😂😂😂","If it's only 15 billion, why don't we just buy it from our government?"
10,"negara konoha ya gitu... ada penemuan yg istimewa mlah di rendahin.... dinjual 15M kemurahan pk,, ini tehnologi bisa bermanfaat sepanjang wktu sebagai pengganti bbm..
jual 1triliun sya rasa cocok... nanti kelak negara konoha ini beli produk itu dari luar negri mobil motor dengan bahan bakar air....pemerintah indo ya bisanya korupsi doang..","Konoha country, right... there is a special invention that is even lowered.... selling for 15 billion is cheap, this technology can be useful all the time as a substitute for fuel..
selling 1 trillion, I think it's suitable... in the future, this Konoha country will buy the product from abroad, motorized cars with water fuel.... the Indo government is usually just corrupt.."
11,Ikut sakit hati denger pak arya bilang  di cecar sama pihak brin.mungkin  temuannya bisa merusak bisnis mereka..,It hurts to hear that Pak Arya said he was being chased by Brin's side. Maybe his findings could damage their business.
12,"Tolong kalo punya anak cerdas, kembangkan di luar negri saja ga usah majukan negri sendiri.... negri ini cuman butuh koruptor","Please, if you have smart children, develop them abroad, you don't need to advance your own country... this country only needs corruptors"
13,"Sabar bapak? Bapak tau sendiri, di negara kita ini banyak sekali orang"" pintar, krna terlalu pintar itulah, mkny mereka tak bisa mikirrrrrrrrrr","Patience father? You know yourself, in our country there are a lot of ""smart"" people, because they are too smart, that's why they can't think rrrrrrrrrr"
14,Salud buat bapak nya,Salute to his father
15,PEMERINTAH GAGAL UNTUK MEMBANGUN  SDM.. YANG SANGAT MENGUNTUNGKAN  BANGSA....PEMERINTAH CENDRUNG TUNDUK KEPADA ORIGARKI  DAN KORUPTOR...... FAKTA NYA  ALZAITUN  SYAITHON GUMILANG  MAMPU MENYESATKAN   .,THE GOVERNMENT FAILED TO BUILD HUMAN RESOURCES.. WHICH VERY BENEFITS THE NATION.... THE GOVERNMENT TENDS TO SUBJECT TO ORIGARKI AND CORRUPTORS.... THE FACT IS ALZAITUN SYAITHON GUMILANG ABLE TO BE MISLEADING.
16,Takut BBM g laku.jd tukang cuan minyak takut bangkrut😅,I'm afraid that the fuel won't sell. So the oil barons are afraid of going bankrupt 😅
17,Jd inget jaman sby diprank org kek ginian..... Prett..... Penghemat bbm ituu...dah banyak kek gitu....,So I remember when I was pranked by people like this..... Prett..... That's a fuel saver... that's a lot like that...
18,"Inilah. Kebodohan pemerintah indonesia...
Hidup pmerintah yg bodoh krna tdk mnghrgai pnemuan ank Bangsa","Here it is. The stupidity of the Indonesian government...
The life of a stupid government because it doesn't appreciate the discoveries of the nation's children"
19,Selidiki dulu beritanya secara detail teliti dulu teknologinya mesinnya ternyata tipu2 gedabrus wkwkwk 🤣,"Investigate the news in detail, first examine the technology, the engine turns out to be a hoax lol 🤣"
20,indonesia  tak butuh orang pintar tp butuh orang yg bisa diajak kerja sama😅😅😅😅,Indonesia doesn't need smart people but it needs someone who can work with 😅😅😅😅
21,Nikuba tolol,Nikuba idiot
22,Jgn lupa klo dh sukses jualnya ke indo,Don't forget that you have successfully sold it to Indo
23,"Dari komen""nya terlihat, memang SDM kita masih rendah
minim literasi, minim ilmu

Semoga banyak yang tercerahkan kalau nikuba ini tidak sehebat yang diklaim saat ini

Media juga terlalu bombastis
Anak"" sains tertawa melihat ini","From the comments it can be seen that our human resources are still low
minimal literacy, minimal knowledge

Hopefully many will be enlightened that this nikuba is not as great as it is claimed at this time

The media is also too bombastic
The science kids laughed at this"
24,"Hanya pengalihan isu metro tv, sedangkan korupsi BTS zonk , jelas ini berita Hoaks","It's just a diversion of the metro tv issue, while the BTS corruption is zonk, obviously this is hoax news"
25,Pemerintah mah kalo ngutang mah jago katanya buanya rakyat menyiksa rakya iya.di zaman rezim mana mau indonesia maju..kalo bisa barang dari luar semua,"The government, when it comes to debt, is good at saying it's not the people torturing the people."
26,"Brin: Dana triliunan buat riset gk jelas, Dana minim untuk hasil riset karya emas bangsa sendiri.",Brin: The trillions of funds for research are not clear. The funds are minimal for research results of the nation's own gold works.
27,Brin sampah Indonesia yang tak berguna.. Bubarkan aja Brin,Useless Indonesian trash Brin... Disband it Brin
28,Seharusnya penemu nikuba ini jd ketua BRIN soalnya risetnya menghasilkan sesuatu ini malah ketua BRIN diberikan kpd ketua umum partai apa yg mau dihasilkan,"The founder of this nikuba should have become the chairman of BRIN, because his research yielded something. In fact, the chairman of BRIN was given to the general chairman of the party, what do you want to produce?"
29,Teknologi jadul ngga laku ..mau bikin sensasi nih orang 😂😂😂...se Indonesia dikibuli tp banyak juga yang percaya tekhnologi kacangan,Old school technology doesn't work... people want to make a sensation 😂😂😂...all over Indonesia are tricked but many also believe in technology nuts
30,Yang jelas kalau nikuba direspon maka mafia minyak akan tidur di kolong jembatan,What is clear is that if Nikuba responds then the oil mafia will sleep under the bridge
31,hoaxx,hoaxx
32,Itulah indonesia teringat dulu bj habibi klu g cinta indonesia g punya darah indonesia dia sudah jd wrga negara lain.....org2 cerdas di indo ga laku...! Sama skali g dpt dukungan malah di jadikn musuh2 bagi org2 yg berkpntingan di situ...😅,"That's how Indonesia remembers BJ Habibi, if he doesn't love Indonesia, doesn't have Indonesian blood, he's already a citizen of another country.....smart people in Indo don't sell well...! Even if you don't get support, you make enemies for people who have an interest there...😅"
33,"Wkwk di komentar banyak yang mendukung pak misel = memang benar Indonesia minim literasi.
Bahkan sekelas TNI pun ketipu.
Waduhh parahhhhh.
Padahal pelajaran SMA ini.","Wow, in the comments there are many who support Pak Misel = it's true that Indonesia has minimal literacy.
Even the TNI class was tricked.
Wow, that's bad.
Even though it's high school."
34,Ngomong2 BRin itu orang2nya siapa siapa yah?😂😂😂😂,"By the way, BRIn, who are the people? 😂😂😂😂"
35,"gobloknya negara ini,, negara asing aja peduli dengan penemuan dan ingin meneliti lah negara indo malah nyinir aja,, mana oii pmerintah jangan duit kamu makan trus","this country is stupid, even foreign countries care about inventions and want to research, the Indonesian country is just sarcastic, where is the government, don't just eat your money"
36,kalo memang bisa menjalankan mesin motor dengan lepas tangki. baru saya percaya. kalo cuma ngomong ngalor ngidul ya namanya nikucrot  😂,"if you can run the engine with the tank off. new i believe. if you just talk nonsense, it's called nikucrot 😂"
37,"Butuh orang yang berfikir peluang bisnis, bukan melulu teori iptek","It takes people who think about business opportunities, not just science and technology theory"
38,"Hanya kodam siliwangi yang mengerti, ingat KODAM SILIWANGI  YANG MENGERTI NIKUBA !!!!!!👍👍👍🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨","Only the Siliwangi Military Command understands, remember the Siliwangi Military Command, which understands NICUBA !!!!!!👍👍👍🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨"
39,Konohaa konohhaa,Konohaa konohhaa
40,50% diberikan..sudah sangat cukup buat jenius...,50% given..is enough for a genius...
41,"Dah biasa, nga heran.","It's normal, no wonder."
42,"Orang ini yang ciptakan apar(alat pemadam kebakaran)dari kulit ketela pohon 
Yang mirip dengan bola juga kan 
Orang yang sangat cerdas bgt 
Sayang tidak di support sama pemerintah","This person created the apar (fire extinguisher) from cassava bark
Which is similar to the ball too right
Very smart person
It's a shame the government doesn't support it"
43,"Indonesia kebanyakan anjing2 pengkhianat, bukan kurangnya pejuang hingga dijajah 350thn","Indonesia has mostly traitorous dogs, not a lack of fighters until it was colonized for 350 years"
44,15 miliar gc tuh,15 billion gc
45,"Ilmunya org indonesia dibeli trus dikembangkan org luar dan diproduksi jika sudah balik lagi ke indonesia cari karyawan org indonesia untuk mempromosikan produknya dan akhirnya dibelilah sama org indonesia wkwkwk pintar banget😂
""Intinya jngan mau dibodohi sama org luar apalgi dengan iming2 semata","The knowledge that Indonesians buy is then developed by outsiders and produced when they return to Indonesia, they look for Indonesian employees to promote their products and in the end they buy it from Indonesians, wow, they're really smart😂
""The point is, don't want to be fooled by outsiders, let alone by mere lures"
46,Kegiatan apapun yg bisa membuat indonesia maju pasti diredam....,Any activity that can make Indonesia progress must be muted....
47,Yg di cari rezim ini cuma para buzzer Rp yg piawai bersilat lidah 😂😂😂,What this regime is looking for are only Rp buzzers who are good at crossing their tongues 😂😂😂
48,"kawan2, mari sejenak lepaskan rasa bangga itu. mari diskuai secara sains, apa ini mungkin?","comrades, let's let go of that pride for a moment. let's look at it scientifically, is this possible?"
49,Bukan rakyat Indonesia menolak nikuba seharusnya dengan BBM naik nikuba harus di pamerkan dengan jalan jalan tanpa BBM supaya rakyat Indonesia percaya,"It's not that the Indonesian people reject nikuba, they should use fuel to go up, nikuba should be showcased on roads without fuel so that the Indonesian people will believe"
50,kecolongan nga padahal sdh lama diuji di motor,didn't miss it even though it had been tested on the motorbike for a long time
51,Pertamina takut rugi,Pertamina is afraid of loss
52,"Pemerintah seharus ya menghargai temuan2 teknologi seperti ini,membiayayai dan mempasilitasi pengembangannya,bukan malah mencemooh.pemrintah Indonesia sangat bodoh.","The government should appreciate technological inventions like this, finance and facilitate its development, not even ridicule it. The Indonesian government is very stupid."
53,Kweren pak.lanjutkan..,Kweren sir. continue..
54,Apa cuma gw yg gk tau Brin itu apa..?,Am I the only one who doesn't know what Brin is?
55,indonesia hanya mementingkan harta bukan ilmu,"Indonesia is only concerned with wealth, not knowledge"
56,"Sakti banget pak Ariyanto... Encer isi kepalayanya... Mantap Pak... 👍👍
Lain waktu lain hari lain pula Enegi alam ya Pak..?? Kepala bisa sama tp isinya pasti berbeda beda.. !! Inilah Karunia Yang Alloh berikan kepada Hamba2 PilihanNYA... 
Sekali kali jangan menganggap Remeh kemampuan Rakyat sebab boleh jd kalian penerima manfaatnya... Sekali kali Rangkul lah Rakyat yg punya prestaai...!!! 
Aku sich.. YESS..!!! 💪💪","Mr. Ariyanto is really powerful... The contents of his head are runny... Great sir... 👍👍
Another time, another day, natural energy, right, sir? The head can be the same but the contents must be different..!! This is the Gift that Allah gives to His Chosen Servants...
Once in a while, don't underestimate the ability of the people because you may be the beneficiaries... Once again, embrace the people who have prestige...!!!
I sich.. YESS..!!! 💪💪"
57,Wkwkwk...cekakakakakakaaak...jangan2 kisah beberapa tahun lalu terulang lagi..,Wkwkwk...cekakakakakaakaaak...don't the story a few years ago repeat itself..
58,"Indonesia belum merdeka sepenuhnya, terbukti....","Indonesia is not fully independent, it is proven...."
59,saran saya dipatenkan dulu atas nama penemunya,My suggestion is patented first on behalf of the inventor
60,Penemuan besar itu cuma di kasi bandrol 15m penemunya tak menyadari bahwa temuannya bisa menghancurkan bisnis yg bernilai ribuan trilyun dan temuannya juga memudahkan rakyat miskin untuk membeli BBM yg begitu menyulitkan mereka dan terakhir temuannya dinikmati negara lain Krn pejabat negri yg begitu rakus tidak mementingkan kepentingan negaranya,"This great discovery was only given a price tag of 15m, the inventor did not realize that his invention could destroy a business that is worth thousands of trillions and his invention also made it easier for poor people to buy fuel which was so difficult for them and finally his findings were enjoyed by other countries because state officials who are so greedy do not prioritize the interests of their country"
61,"Bener pak Ariyanto michel, gak usah urusan sama Brin, .....
Muhamadiyah aja mau dibantai kok","It's true, Pak Ariyanto Michel, don't have anything to do with Brin,.....
Muhammadiyah doesn't want to be slaughtered"
62,"Saya faham kenapa bisa di tolak.
Karena salah satu akan dirasaa hancur pendapatan.
Ragu boleh tapi wajib di uji secara fakta biar melek.","I understand why it can be rejected.
Because one will feel destroyed income.
Doubt may but must be tested in fact so literate."
63,"ngemeng epe pek tuek oh pek tuek, dulu taiwan sekarang jerman,","ngemeng epe pek tuek oh pek tuek, formerly Taiwan is now Germany,"
64,yang paham fisika pasti gak bakal percaya dg klaim2 nikuba,those who understand physics will definitely not believe in nikuba's claims
65,"Sangat disayangkan kalo org luar itu udah dapat formulanya dari hasil uji coba di milan kmaren, siapa tau itu skenario mreka mengundang bapak itu ksana","It would be a shame if outsiders already got the formula from the trial results in Milan yesterday, who knows, that's the scenario they invited the gentleman there."
66,"Anis presiden, temuan2 dr para peneliti rakyat Indonesia, In Syaa Allah , akan menjd perhatian Capress Anis❤","Anis president, the findings of Indonesian people's researchers, In Syaa Allah, will be the attention of Capress Anis❤"
67,"Hati hati pak, takutnya gak dapat apa apa dari hasil penemuannya, pejabat indo licikkkk","Be careful sir, I'm afraid you won't get anything from the findings, Indo officials are cunning"
68,Suatu saat penemuan Bpk Aryanto akan mendunia....,One day Mr. Aryanto's invention will go global....
69,"Padahal brin pimpinaya profesor lo, profesor megawatikan","Even though brin was led by your professor, the professor was worried"
70,Ci cie bingung naik kak rating pak manis yaaaaaa,"Ci cie is confused about the rating, sis, sweet pack, yeah"
71,Ini solusinya persiden jokowi yg harus turun tanggan... Karena bpak ini sudah sagat2 skit hati dan kecwa bget.,"This is the solution for President Jokowi, who has to step in... Because this gentleman is very heartbroken and very disappointed."
72,"Udh gk heran bung.... Dari jamannya BJ HABIBIE ,, TAUN gk enk dulu... Krn kebodohn kita semua terhadap insinyur2 , atau penemmu2 ank bangsanya...","It's not surprising, bro... From the time of BJ HABIBIE, YEARS weren't good... Because of our stupidity towards engineers, or the inventors of our nation's children..."
73,"berita"" lebih mementingkan view daripada kebenaran

ga mendukung karya anak bangsa? semua klaim tentang 1 liter bisa buat perjalanan 400km dan 1 tetes bisa untuk 50km.

nyatanya motor yg mereka pakai masih memakai bensin.","news"" is more concerned with the view than the truth

don't support the work of the nation's children? all claims about 1 liter can travel 400km and 1 drop can be for 50km.

in fact the motorbike they use still uses gasoline."
74,"Ngomong katanya cintai dan pakai produk lokal........ 
Mana??????? 
Masalah gini aja ga di hargain.","By the way, he said, love and use local products........
where????????
This problem is not appreciated."
75,"Lanjutkan pak kami sangat setuju, karena di konoha karya tak pernah di hargai","Continue, sir, we totally agree, because in Konoha, work is never appreciated"
76,Miris Pak Dhe ...,Mister Dhe...
77,"Hal apakah yang kita fikirkan dan kita imajinasikan yang BELUM atau TIDAK difikirkan atau di imajinasikan oleh para ilmuwan pelopor atau ilmuwan periset di negara barat? 
Sangat mengherankan jika perihal air menjadi BBM ini nyata,, dan mereka tidak menemukannya lebih dahulu dibandingkan pak Aryanto?
Dari beberapa channel YT, mereka yang faham kimiawi dan fisika dari air,, mereka semua meragukan temuan ini.","What things are we thinking and imagining that have NOT or have NOT been thought of or imagined by pioneer scientists or research scientists in western countries?
It's really surprising that the matter of turning water into fuel is real, and they didn't discover it earlier than Mr. Aryanto?
From several YT channels, those who understand the chemistry and physics of water, they all doubt this finding."
78,Orangnya nyesel berangkat ke italia.tau begini gx berangkat katanya.oh metro tv sekarang cuman tukang goreng.berita sudah gx kredibel dan bisa di percaya.kasihan yg pada kerja  di metro tv jujurlah walaupun itu pahit.gx bahaya ta😅😅😅,"People regret going to Italy. You know, they don't go, they say. Oh, Metro TV is now just a fryer. The news isn't credible and can be trusted. It's a pity for those who work at Metro TV, be honest, even though it's bitter. It's not dangerous, isn't it?"
79,"Takut gak laku pertamina mungkin.
Sampe kiamat negara kita gak bakalan maju,org org hebat gak di apresiasi di negara ini.malah acuh 
Justru negara lain mala mengepresisai  org hebat ini","Fear of not selling Pertamina maybe.
Until the end of the world, our country will not progress, great people will not be appreciated in this country
Precisely other countries do not appreciate this great person"
80,"Niku banyu + karbit masukan kaleng buat lubang kecil,lalu nyalakan pakai korek api jadi nyala 🔥🔥🔥","Niku banyu + carbide put in the can, make a small hole, then light it with a match so it turns on 🔥🔥🔥"
81,"Betul....ngendikane mbah nun,......arepo anak negri ini juara olimpiade mtk, kimia fisika....ra bakalan isa di gawe opo meneh di hargai.....pemerintah........bubarkan ae BRIN......wong kumpulane wong2 ora jelas...alias bosok otake.....","That's right....nendkane grandma nun,......arepo this country's child won the math olympiad, physics chemistry...rather it will be done or meneh will be appreciated....the government...... ..disband ae BRIN......the people gathered together are not clear...aka bored otake....."
82,"Udah di jelasin sederhana tp masih bego
Si paling nikuba😅😅😅","It's been explained simply but it's still stupid
The most nikuba😅😅😅"
83,"Makanya susah  bangsa ini mau maju,bukan di dukung malah di biarkan,lembaga macam apa tidak nendukung anak bangsa,penemuan anak bangsa ko lebih di hargai di luar negri ketimbang di dalam negri.","That's why it's difficult for this nation to move forward, not to be supported and even allowed to exist, what kind of institution doesn't support the nation's children, how come the invention of the nation's children is more appreciated abroad than at home."
84,Sayang sekali karya anak bangsa byk yg tdk dihargai dinegeri sendiri karena lembaga² yg meremehkan,It's a shame that the work of many of the nation's children is not appreciated in their own country because of disparaging institutions
85,Coba lihat masa lalu dulu ad di USA penemu bahan bakar air tapi esoknya inya di bunuh elit global,"Take a look at the past, there used to be in the USA the inventor of water fuel but the next day it was killed by the global elite"
86,mau saja ditipu,just want to be cheated
87,banyu itu buat mandi masak buat bahan bakar....ada ada saja sampeyan pakde. Klo banyu bisa utk bahan bakar negara lain yang lebih maju yang punya banyak dana utk riset pasti sudah mengembangkan lebih dulu.,"the banyu is for bathing and cooking for fuel....there are you, sir. If a lot of it could be used for fuel, other more advanced countries that have lots of funds for research would have developed it first."
88,"Sains itu selalu berkembang, meski gak masuk akal janganlah menolak mentah2 apalagi mencibir. Mungkin ilmu anda belum nyampe. Gitu aja. 
Jika orang pintar Harusnya lebih terbuka dgn  inovasi baru, jangan hanya terpaku pada rumus enstein atau hawking yang ada di masa lalu, apakah orang-orang pintar hanya ada pada masa lampau????","Science is always developing, even if it doesn't make sense, don't reject it outright, let alone sneer. Maybe your knowledge has not arrived yet. Just like that.
If smart people should be more open to new innovations, don't just stick to the Einstein or Hawking formulas that existed in the past, did smart people only exist in the past????"
89,"Orang2 brin itu pecat semua,masak bukan didukung difasilitasi malah dicemooh..!! Ya orang2 seperti ini yg menghambat para peneliti RI untuk maju.belum lagi dron Elang hitam yg dinanti2 masyarakat itu.e.. malah alasannya  buat pemadam kebakaran. Sangat2 mengecawakan...","The brin people fired everyone, they weren't supported, they were facilitated, they were even ridiculed..!! Yes, it's people like this that hinder RI researchers from moving forward. Not to mention the black Eagle drone that the community has been waiting for. e. instead the reason is for firefighters. Very disappointing..."
90,galaku dijual ke ferarari😅,Galaku sold to Ferrari😅
91,"Di indonesia gak bakal di hargai penemuan teknologi...apalagi menyangkut bbm,, karna ada yang cari makan di pemerintahan...pasti ngrasa terancam🙈🙈","In Indonesia, technological inventions will not be appreciated... especially regarding fuel, because there are those who are looking for food in the government... they must feel threatened🙈🙈"
