,Text,TextEng
0,SAYA SIAP ANGGARKAN RP 40.000 TRILIUN UNTUK NIKUBA KARYA ANAK BANGSA. INSYAA ALLAH LAQUWWATA ILLA BILLAH,"I AM READY TO BUDGET IDR 40,000 TRILLION FOR NICUBA WORKS OF CHILDREN. INSYAA ALLAH LAQUWWATA ILLA BILLAH"
1,"tolong pemerintah perhatianya ke nikuba,kayanya bp aryanto mizel benar"" serius","please the government pay attention to Nikuba, I think Mr Aryanto Mizel is really serious"
2,"Kalau nikuba,di pakai di Indonesia, tidak ada lagi bisnis bbm di Indonesia 😅😅😅","If Nikuba is used in Indonesia, there will be no more fuel business in Indonesia 😅😅😅"
3,"Kalau nikuba,di pakai di Indonesia, tidak ada lagi bisnis bbm di Indonesia 😅😅😅","If Nikuba is used in Indonesia, there will be no more fuel business in Indonesia 😅😅😅"
4,"Kalau alat nikuba ini di kembangkan, Pertamina omsetnya bisa anjlok😂","If this nikuba tool is developed, Pertamina's turnover could drop😂"
5,Coba mobil putih muatan toa milik kadrun diganti nikuba biar gak teriak3 bbm naik 😀😀,Try Kadrun's white car loaded with toa instead of Nikuba so you don't scream 3 fuel up 😀😀
6,NIKUBA SDH DITELITY DAN HOAX....YG PERCAYA HOAX SILAHKAN SAJA....,NIKUBA IS DITELITY AND HOAX.... THOSE WHO BELIEVE IN HOAX PLEASE ONLY....
7,Masih yakin dengan nikuba bisa gantiin bensin? 😂😂.. media nya juga kocak hal ginian di angkat. Biar bisa jadi polemik di masyarakat yg gmpang percaya dan di bodohi  👏👏,Are you still sure that Nikuba can replace gasoline? 😂😂.. the media is also funny about this thing being brought up. So that it can become a polemic in a society that is easy to trust and fooled 👏👏
8,"Penemu nikuba cuma berkoar2 di medsos, alangkah baiknya di patenkan dan di pack, biar bisa di jual. Kan dah lama berkoar2 di medsos",The inventor of nikuba is just making noise on social media. It would be nice if it was patented and packaged so it could be sold. It's been a long time on social media
9,"Ko bajingan ya brin. Kalau sdh cuek sm penemuan nikuba, ngapain ikutan ke itali. Sy curiga biar tdk ada kesepakatan atas nikuba, krn jk terjadi kerjasama, mk dpt disimpulkan kegoblogan ada di pihak brin","What a bastard, bro. If you are already ignorant of the discoveries of Nicuba, why do you go to Italy. I suspect that there will be no agreement on Nikuba, because if there is cooperation, then it can be concluded that the stupidity is on Brin's side"
