,Steming,Label
276,nikuba hoakmana ferraripakenikuba emang orang bodo ygmpercaya,netral
298,curiga orang bn dtang kesana jngn udang balik bakwan singkir pnemu nikuba asli,negatif
480,brin hmmm enak loe kenal kenal nikuba,positif
551,perintah terima hasil karya anak bangsa perintah rugi contoh bbm kalah saing nikuba jabat cuan bbm rugi masalah anak indonesia temu tenaga listrik pohon perintah cuwek respon anak bangsa hasil karya teknologi rebut brunei turkiye perintah indonesia berat lepas anak bangsa,negatif
190,apa ajar kompensasi hak paten apa hak paten uang nikuba,netral
447,moga misel sukses jaya makmur sentosa cipta teknologi nikuba bahan bak kapal udara kapal selam kapal antariksa teknologi jual milyar dolar usa,positif
31,berita nikuba lirik mulu untung lirik,netral
497,dasar ilmuwan dahulu sejarah tua anggap gila orangorang keliling suat mustahil tiada samping orangorang sempurna temu baru nama harum mata dunia denger sekolah,positif
391,negera jahat kritik potensi apa nikuba lihat keraguanya temu potensi peluang kroyok besar bagaimna pesawat upaya upaya orang temu pikir pesawat wujud terbang,negatif
250,perintah negara rugi nikuba rakyat indonesia,positif
333,hasil kecil size file kurang kualitas data rekrut usaha google riset nikuba pinang pabrikan kendara italy temu senjata magnetik rekrut industri tahan jerman,positif
336,coba ajar netizen teknologi kek nikuba gaefisien sumber energi air aki klaim air jalan ampe km sulit gamasuk akal sains keburu abis aki,negatif
507,fakta nikuba diujidipakai kendara dinas kodam diponegoro bukti efektif aneh brin negeri wakanda,positif
10,nikubasingkatan niku bactomongmya doang gede mediapadahal kenyataanya sesuai faktakatanya itali tawar piha ferrariducati cs nyapadahal fakta aryanto italali hadir kopdar klub otomotifjd ferrari yabnyak media online abal judul beritaisinya bodoh semuaterutama tribun tuhcuma nyari viewer ketimbang efek berita timbul,netral
495,hnya hho generator nikuba alat bnyak djual toko online,positif
112,tanya simple kembang nikuba ketimbang wara wiri ngeributin motor elektrik,netral
454,isi orang sok pinter takut depak,negatif
451,brin buka korup temu nikuba putra bangsatidak dukung,negatif
351,nikuba scam,negatif
379,pro nikuba kayak mantan korban kanjeng mas deh,positif
65,bela perintah bela temu nikuba hina leceh temu tetep hormat usaha semangat aryanto misel usaha bahan bakar air kemarin orang temu kali teknologi bicara fisika ilmiah nukuba bahan bakar air sesimple nikuba bahan bakar air negara maju terap produksi masal mobil produksinyatapi fakta mobil teknologi bahan bakar air bahan bakar air terap mobil motor produksi masal jawab air energi butuh proses elektrolisis air kandung molekul hidrogen proses elektrolisis proses hidrogen bahan bakar fungsi aki proses elektrolisis pisah hidrogen air bakar butuh listrik lumayan listrik mesin kendara inti pakai bahan bakar air isi aki alat tambah tank bensin makan nikuba tenaga mesin gerak aki bensin nikuba ubah air energi tenaga mesin butuh aki jalan simpul mengunakan bensin tenaga aki resiko aki tekor soak rusak fakta sulit isi aki ngisi bensin harga cair aki awat aki simplekarena sampe teknologi bahan bakar air sulit kembang telur ayam muter nikuba sebenrnya ganti bahan bakar bensin rubah aki rumus fisika energi cipta energi kecuali mukzizat tuhan,negatif
414,nikuba hoak,netral
126,temu tiru tabung madam api singkong peneleitian bocah sma alat nikuba prinsip generator hidrogen fakta bahan bakar sempurna bakar konsumsi bbm hemat prototype nikuba generator hidrogen plagiat prorotype generator hidrogen joko energy chanel,positif
406,nikuba saudara banyu gen sempet viral mengegerkan jagat teknokogi industri us dunia tipu bela teknologi silah ajar pisah air ho serta energi butuh fisika kimia tipu hebat netizen indonesia lambung teknologi ironman bal listrik pohon kendondong dsb,netral
196,kerja nikuba air pecah hidrogen oksigen pakai listrik aki hidrogen masuk bakar motor jalan kerja aki berat mecah air bakar,negatif
519,nikuba lirik olh usaha ri takut dagang usaha pro aseng laku,negatif
219,stanley meyer water fuel cell krisis minyak amrik paten nikuba masaaaa,negatif
465,pakai bbm tidak alas kali mending deh pakai nikuba bahan bakar pakai air,positif
137,indonesia banyak cukong temu teknologi mals kembang negara habibi jermanlah milik kariyanya habibiparah parah sekarqng nikuba kembang indonesia makmur sedang andal bahan bakar minyak bensin solar,negatif
